constraint_score,N90,cv_effect_N90,promoter_dominance,enhancer_load,balance_metric,skewness_effect,vg_eqtl,is_essential,gene_symbol,loeuf_score,prob_essential
-0.6211731441666566,21,0.6973263342850277,0.031243622367296688,0.3738864589524046,0.06413310590659417,6.220053387426377,0.00039273,1,CTNNBL1,0.51,0.8353664246817428
-0.40233556046549607,18,0.7194619700837094,0.10634252150559706,0.35705081572603403,0.032645106674909996,5.175869858399005,0.000270441,1,MAU2,0.119,0.8046072325289815
-0.8505148038853175,86,0.9167227698204108,0.04634828439028164,0.29048598993653335,0.04011558468870635,3.8150870137925184,0.000799708,1,RANBP9,0.13,0.78662887698842
-0.6979875731206311,20,0.7266618349370731,0.029114246929859852,0.3828049513079532,0.025297112470027115,5.288485704441855,0.00335642,1,SIPA1L2,0.287,0.7617182257201504
-0.6323477852635593,25,0.674433048901663,0.017315253849753572,0.419940643688593,0.01612604458135341,6.469770300434412,0.000466136,1,TECPR2,0.346,0.7472816166741673
-0.7120604145808509,25,0.7499787793955387,0.009721653365972673,0.12736356740912094,0.004073314143720234,4.993245691351022,0.00279594,1,LOXL1,0.382,0.7233230818106733
-0.9105186606586306,39,1.6572090423354982,0.04278665499574116,0.0656687696153827,0.11570981827339999,6.402725933254032,0.000495627,1,SEPHS1,0.298,0.7164533982652941
-0.8110074582935639,45,1.3366764199982233,0.264217872004166,0.2644474671292815,0.005938616809195702,5.8563381926869456,0.00151341,1,FCHO2,0.222,0.7041903095604906
-0.7233268772776299,51,1.4678231467195728,0.06701790606295951,0.41844430036895486,0.066532486733094,5.649126718067045,0.000462665,1,B4GALT2,0.592,0.6810550885596429
-0.8755258148467411,36,1.6560730681251845,0.037386837414778426,0.06715613843969023,0.020895936036080663,10.469926100713622,0.00186915,1,PRKD2,0.189,0.6810459377164502
-0.7937380674414364,19,0.7651546822683558,3.460016325565002e-05,0.3519109102122444,0.006716165882999415,5.646623143843369,0.00610713,1,COL15A1,0.504,0.6800296784080063
-0.5929974182877569,36,0.7894030617257706,0.0009385538827184445,0.2414776669286784,0.020111117790968858,4.275694561865449,0.000437654,1,TXLNA,0.24,0.6741459590761236
-0.669853235365862,22,1.0278311503982913,0.08346079771648236,0.6848552624436605,0.1089335720909948,4.813355604707364,0.000957364,1,RPL10A,0.444,0.6735621707832853
-0.4410038836064451,20,0.7283640038377623,0.04291058999459398,0.03591846399828566,0.07548976762571902,4.49181729626115,0.000170338,1,SUPT16H,0.12,0.6391921677867655
-0.8367384074451075,34,1.1862189461681498,0.007885401299243146,0.07717025158939116,0.10867866888530074,5.4008532731192185,0.00026813,1,MMS19,0.421,0.593025728176932
-0.7071043916459586,27,0.8097568387000402,0.30518678822410006,0.3730055246339575,0.04631194235829327,5.0305516745043795,0.00216403,1,SEC61A2,0.558,0.5621450345561572
-0.8399395515715592,24,0.8279354705614504,0.011707489239933502,0.046031871103079526,0.0638629871962794,8.20589416061161,0.00111011,1,ZNF202,0.419,0.5590685956277837
-0.49623316130171663,21,0.4656897029920652,0.03639644666959602,0.3525907352663858,0.08869098435941662,3.46203140662347,0.00157713,1,MYO10,0.374,0.42080712928783437
-0.7815265132462079,24,1.450640581601687,0.004933787738782346,0.08189561869476253,0.03199984145250081,7.453919015301111,0.00317409,1,PLEC,0.392,0.3990287044332914
-0.38006652548974856,19,0.6804262615000324,0.0029831391001331844,0.32736845683848054,0.06592145126696893,4.28916610960715,0.0115242,1,NDNF,0.512,0.38034533075145915
