constraint_score,N90,cv_effect_N90,promoter_dominance,enhancer_load,balance_metric,skewness_effect,vg_eqtl,is_essential,gene_symbol,loeuf_score,cluster,architecture_type,pca1,pca2
-0.4310373786641296,8,0.3760549621844111,0.009911212037175831,0.26288233998711846,0.014998968410719252,5.8239103262763185,0.000412,1,EXOC1,0.479,0,buffered (complex),-0.10369507904458079,0.24476226968395143
-0.8538996671164393,31,1.0874554752359273,0.04739297667385306,0.012537833150280387,0.11564833989774678,4.491619020937787,0.0006303,1,PKD1,0.179,0,buffered (complex),-1.624510374462887,-0.20993617785516022
-0.1863774289595501,12,0.42754105994617897,0.009005104487200101,0.7659228581950964,0.01955362692094427,4.131498018143407,0.00937835,1,ITPKA,0.472,0,buffered (complex),-0.34558707728400656,0.7294425581452814
0.04855594733904306,5,0.21067313795625622,0.008656624651248033,0.006314124559666734,0.08231903396354039,19.327352620501472,0.00113078,1,ARMC1,0.466,0,buffered (complex),0.5933291440704367,0.5698261963130983
-0.3307813190188822,9,0.5320502552733759,0.0005904434492924227,0.03514007303952643,0.06906721043836954,7.763656062925569,0.0012383,1,CDK5R1,0.378,0,buffered (complex),-0.010601770401262938,0.4009659980178334
-0.4876683393951935,15,0.5937544989949677,0.03102546760607286,0.4779339293949202,0.05816303540232742,4.492905171927082,0.000224513,1,IPO7,0.106,0,buffered (complex),-0.6773943209815118,0.5408661600237765
-0.06986635707526348,11,0.4266996429846471,0.04448851280681056,0.319495542002941,0.039970364309860666,3.860786907561048,0.0070185,1,GNAL,0.206,0,buffered (complex),0.1024187920673975,0.271236740290053
0.058123169444844816,14,0.6432695067912079,0.0,0.0,0.11319925466652535,4.4669519264992354,0.000712495,1,USP32,0.224,0,buffered (complex),0.07200232262610454,0.5818951058064324
-0.6282640337478068,5,0.3695209089404471,0.002477332043844793,0.28089532203135525,0.09900326316899147,4.501017358914971,0.000312418,1,THRAP3,0.19,0,buffered (complex),-0.3280030658605994,1.1219074993834175
-0.6862584894370616,13,0.6055039422494906,0.3454556053219846,0.0320627784048566,0.03277758667961724,4.5584690496954385,0.00228186,1,BIN1,0.368,0,buffered (complex),0.17214076342049262,-1.6459106850073388
0.19280142274062714,7,0.5429622920877829,0.011117615262157326,0.013826785290287785,0.06756081123342471,10.057378780584653,0.000401418,1,AKAP8L,0.468,0,buffered (complex),0.6620912981935475,0.38312209049972124
